Metric,Value
CaseId,case_000114
Transcript,Colombia is home to the tallest person in the world ever recorded.
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.2561
EstimatedTextDurationSec,2.33623
AudioDurationSec,3.49688
EffectiveSegmentScaleMax,1.22916
ScaleCapHitCount,0
CommitLeadMeanSec,-0.025596
MaxVisiblePoseGapSec,0.0999999
VisiblePoseGapCountOver250ms,0
