index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,03_Ee,did,0,0,0,0.028571,0.920000,IH,1,cmu_front_vowel
1,11_Oo,you,1,0,0,0.100000,0.920000,UW,1,cmu_oo_vowel
2,09_Oh,know,2,0,0,0.157143,0.920000,OW,1,cmu_oh_vowel
3,07_Aa,argentina,3,0,0,0.180952,0.920000,AA,0,cmu_open_vowel
4,14_ChJjSh,argentina,3,0,0,0.219048,0.820000,JH,2,cmu_affricate_sibilant
5,03_Ee,argentina,3,0,0,0.295238,0.920000,IY,6,cmu_front_vowel
6,07_Aa,has,4,0,0,0.371429,0.920000,AE,1,cmu_open_vowel
7,07_Aa,the,5,0,0,0.442857,0.500000,AH,1,cmu_open_vowel
8,07_Aa,largest,6,0,0,0.481633,0.920000,AA,1,cmu_open_vowel
9,14_ChJjSh,largest,6,0,0,0.514286,0.820000,JH,3,cmu_affricate_sibilant
10,22_MBP,penguin,7,0,0,0.579592,1.000000,P,0,cmu_bilabial
11,06_Eh,penguin,7,0,0,0.595918,0.920000,EH,1,cmu_eh_vowel
12,12_Ww-Oo-,penguin,7,0,0,0.644898,0.880000,W,4,cmu_w
13,07_Aa,colony,8,0,0,0.721429,0.920000,AA,1,cmu_open_vowel
14,03_Ee,colony,8,0,0,0.816667,0.500000,IY,5,cmu_front_vowel
15,03_Ee,in,9,0,0,0.842857,0.500000,IH,0,cmu_front_vowel
16,07_Aa,the,10,0,0,0.928571,0.500000,AH,1,cmu_open_vowel
17,12_Ww-Oo-,world,11,0,0,0.950000,0.880000,W,0,cmu_w
18,06_Eh,world,11,0,0,0.964286,0.920000,ER,1,cmu_eh_vowel
