Metric,Value
CaseId,case_000121
Transcript,"Bolivia has the highest mountain range in the world, the Bolivian Andes."
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.393
EstimatedTextDurationSec,2.5586
AudioDurationSec,4.37687
EffectiveSegmentScaleMax,1.13
ScaleCapHitCount,0
CommitLeadMeanSec,0.0671411
MaxVisiblePoseGapSec,0.763336
VisiblePoseGapCountOver250ms,2
