Metric,Value
CaseId,case_000130
Transcript,"Tanzania is the only place on Earth where you can find tanzanite, a rare gemstone."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.04181
EstimatedTextDurationSec,3.45409
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.23477
ScaleCapHitCount,0
CommitLeadMeanSec,0.070317
MaxVisiblePoseGapSec,0.226664
VisiblePoseGapCountOver250ms,0
