word_index,word,start,end,speech_region_index,sentence_index
0,he,0.640000,0.840000,0,-1
1,whispered,0.840000,1.380000,0,-1
2,the,1.380000,1.450000,0,-1
3,first,1.450000,1.870000,0,-1
4,line,1.870000,2.320000,0,-1
5,then,2.680000,2.960000,1,-1
6,repeated,2.960000,3.540000,1,-1
7,the,3.540000,3.610000,1,-1
8,final,3.610000,4.060000,1,-1
9,words,4.060000,4.500000,1,-1
10,in,4.500000,4.650000,1,-1
11,a,4.650000,4.690000,1,-1
12,strong,4.690000,5.270000,1,-1
13,clear,5.270000,5.610000,1,-1
14,voice,5.610000,6.270000,1,-1
