Metric,Value
CaseId,case_000162
Transcript,Perhaps a fun fact then— Ireland is where the harp became a symbol of the country.
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.85647
EstimatedTextDurationSec,3.33953
AudioDurationSec,4.85687
EffectiveSegmentScaleMax,1.37661
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0269334
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
