Metric,Value
CaseId,case_000060
Transcript,"The first four are Alpha, Beta, Gamma, Delta. You seem distracted. Need a sandwich to focus?"
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.2386
EstimatedTextDurationSec,5.74974
AudioDurationSec,6.77688
EffectiveSegmentScaleMax,1.5
ScaleCapHitCount,0
CommitLeadMeanSec,0.0982111
MaxVisiblePoseGapSec,0.75001
VisiblePoseGapCountOver250ms,3
