Metric,Value
CaseId,case_000094
Transcript,"We've got jalapeno, barbecue, and even truffle if you're really daring."
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.04
PeakTimingMAEMs,12.9982
EstimatedTextDurationSec,2.88042
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1
ScaleCapHitCount,0
CommitLeadMeanSec,0.0725251
MaxVisiblePoseGapSec,0.933336
VisiblePoseGapCountOver250ms,2
