Metric,Value
CaseId,case_000195
Transcript,Iran is known for its beautiful Persian carpets and rich culture. How can I assist you?
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0357143
PeakTimingMAEMs,10.8438
EstimatedTextDurationSec,3.6982
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.1957
ScaleCapHitCount,0
CommitLeadMeanSec,0.0712049
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
