EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,22_MBP,MBP,sometimes,0,0,0.0277815,0.0700406,0.199674,1,SimpleBudgetV1
1,14_ChJjSh,FVS,sometimes,0,0,0.0757143,0.114452,0.388167,0.783,SimpleBudgetV1
2,06_Eh,EEE,sometimes,0,0,0.0563455,0.147907,0.41692,0.74,SimpleBudgetV1
3,06_Eh,EEE,sometimes,0,0,0.117973,0.170797,0.589439,0.82,SimpleBudgetV1
4,24_Tongue_Th,FVS,the,1,0,0.17907,0.19103,0.755447,0.42,SimpleBudgetV1
5,06_Eh,EEE,the,1,0,0.202392,0.22392,0.870189,0.74,SimpleBudgetV1
6,22_MBP,MBP,best,2,0,0.234219,0.254153,0.996865,1,SimpleBudgetV1
7,06_Eh,EEE,best,2,0,0.262458,0.305648,1.15962,0.74,SimpleBudgetV1
8,07_Aa,AAA,sandwiches,3,0,0.326412,0.365282,1.41189,0.94,SimpleBudgetV1
9,07_Aa,AAA,sandwiches,3,0,0.366777,0.444518,1.65602,0.86,SimpleBudgetV1
10,14_ChJjSh,FVS,sandwiches,3,0,0.399668,0.435548,1.70484,0.691954,SimpleBudgetV1
11,06_Eh,EEE,sandwiches,3,0,0.422093,0.469934,1.8208,0.748403,SimpleBudgetV1
12,07_Aa,AAA,are,4,0,0.503854,0.533223,2.11688,0.86,SimpleBudgetV1
13,24_Tongue_Th,FVS,the,5,0,0.557807,0.569767,2.30161,0.42,SimpleBudgetV1
14,06_Eh,EEE,the,5,0,0.58113,0.602658,2.41635,0.74,SimpleBudgetV1
15,09_Oh,OOO,ones,6,0,0.612973,0.643671,2.56506,0.9,SimpleBudgetV1
16,06_Eh,EEE,ones,6,0,0.649701,0.706711,2.76871,0.74,SimpleBudgetV1
17,11_Oo,OOO,you,7,0,0.740864,0.800664,3.14657,1,SimpleBudgetV1
18,09_Oh,OOO,don't,8,0,0.833887,0.877076,3.49242,0.82,SimpleBudgetV1
19,06_Eh,EEE,expect,9,0,0.884153,0.914851,3.67213,0.821734,SimpleBudgetV1
20,22_MBP,MBP,expect,9,0,0.92289,0.949203,3.82132,1,SimpleBudgetV1
21,06_Eh,EEE,expect,9,0,0.925449,0.982458,3.89442,0.74,SimpleBudgetV1
