ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,06_Eh,let's,0,0,0.12763,0.557213,0.5,0.614427,0.74,0.0772134,0.09,1
1,1,09_Oh,go,1,0,0.347681,0.777264,0.720051,0.834478,0.82,0.0572643,0.09,1
2,2,12_Ww-Oo-,with,2,0,0.470909,0.900493,0.865285,0.935701,1,0.0604929,0.09,1
3,3,04_Ih,with,2,0,0.567732,0.997316,0.940102,1.05453,0.22,0.0773154,0.09,1
4,4,24_Tongue_Th,with,2,0,0.577634,1.00732,0.979816,1.03482,0.42,0.0873154,0.09,1
5,5,18_Uh,turkey,3,0,0.73277,1.22399,1.17954,1.26844,0.688233,0.0639929,0.09,1.09306
6,6,03_Ee,turkey,3,0,0.828624,1.32877,1.24622,1.41132,0.86,0.0887674,0.09,1.09306
7,7,03_Ee,turkey,3,0,0.90221,1.4092,1.3584,1.46,0.86,0.0892006,0.09,1.09306
8,8,06_Eh,lettuce,4,1,1.43389,1.721,1.66,1.782,0.74,0.0809988,0.09,1.5
9,9,06_Eh,lettuce,4,1,1.54012,1.861,1.7735,1.9485,0.74,0.0609989,0.09,1.5
10,10,07_Aa,and,5,2,2.17504,2.68481,2.65685,2.71277,0.86,0.0848129,0.09,1.0381
11,11,22_MBP,mayo,6,2,2.26359,2.77673,2.74923,2.80423,1,0.0567358,0.09,1.0381
12,12,09_Oh,mayo,6,2,2.36921,2.88638,2.82699,2.94578,0.82,0.0863845,0.09,1.0381
13,13,09_Oh,on,7,2,2.55353,3.07772,3.04976,3.10568,0.82,0.0777223,0.09,1.0381
14,14,06_Eh,rye,8,2,2.7477,3.41189,3.35095,3.47284,0.74,0.0645535,0.09,1.06519
15,15,18_Uh,yummy,9,3,3.31924,4.2364,4.18963,4.28317,0.68,-0.230477,0.15,1.15008
16,16,22_MBP,yummy,9,3,3.40638,4.33662,4.29653,4.3767,1,-0.13026,0.15,1.15008
17,17,03_Ee,yummy,9,3,3.42962,4.36334,4.27648,4.4502,0.86,-0.103535,0.15,1.15008
18,18,03_Ee,yummy,9,3,3.51385,4.46022,4.41679,4.50365,0.86,-0.0066576,0.15,1.15008
