word_index,word,start,end,speech_region_index,sentence_index
0,it,0.500000,0.660000,0,-1
1,takes,0.660000,1.030000,0,-1
2,text,1.060000,1.630000,0,-1
3,and,1.970000,2.160000,1,-1
4,turns,2.160000,2.580000,1,-1
5,it,2.580000,2.740000,1,-1
6,into,2.740000,3.130000,1,-1
7,animations,3.130000,4.120000,1,-1
8,then,4.490000,4.780000,2,-1
9,matches,4.780000,5.230000,2,-1
10,them,5.230000,5.450000,2,-1
11,with,5.450000,5.610000,2,-1
12,the,5.610000,5.750000,2,-1
13,audio,5.790000,6.330000,2,-1
