EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,14_ChJjSh,FVS,chile,0,0,0,0.0220153,0.0315758,0.850001,SimpleBudgetV1
1,06_Eh,EEE,chile,0,0,0.0293537,0.0770535,0.152616,0.74,SimpleBudgetV1
2,07_Aa,AAA,has,1,0,0.112245,0.129256,0.346377,0.86,SimpleBudgetV1
3,24_Tongue_Th,FVS,the,2,0,0.144267,0.154274,0.428187,0.42,SimpleBudgetV1
4,06_Eh,EEE,the,2,0,0.16378,0.181793,0.495644,0.74,SimpleBudgetV1
5,03_Ee,EEE,driest,3,0,0.214038,0.250174,0.665802,0.86,SimpleBudgetV1
6,09_Oh,OOO,non,4,0,0.28353,0.319666,0.865145,0.82,SimpleBudgetV1
7,22_MBP,MBP,polar,5,0,0.328951,0.350966,0.975181,1,SimpleBudgetV1
8,09_Oh,OOO,polar,5,0,0.345462,0.371147,1.02781,0.82,SimpleBudgetV1
9,07_Aa,AAA,polar,5,0,0.360139,0.407839,1.10148,0.86,SimpleBudgetV1
10,06_Eh,EEE,desert,6,0,0.432606,0.45829,1.27778,0.74,SimpleBudgetV1
11,06_Eh,EEE,desert,6,0,0.451869,0.499569,1.36462,0.74,SimpleBudgetV1
12,04_Ih,EEE,in,7,0,0.53476,0.551772,1.55838,0.22,SimpleBudgetV1
13,24_Tongue_Th,FVS,the,8,0,0.566783,0.576789,1.64019,0.42,SimpleBudgetV1
14,06_Eh,EEE,the,8,0,0.586296,0.604309,1.70764,0.74,SimpleBudgetV1
15,12_Ww-Oo-,WUH,world,9,0,0.612926,0.635163,1.79009,1,SimpleBudgetV1
16,09_Oh,OOO,world,9,0,0.636553,0.672689,1.8778,0.82,SimpleBudgetV1
17,24_Tongue_Th,FVS,the,10,1,0.724531,0.734538,2.09269,0.42,SimpleBudgetV1
18,06_Eh,EEE,the,10,1,0.744044,0.762057,2.16015,0.74,SimpleBudgetV1
19,07_Aa,AAA,atacama,11,1,0.778874,0.814288,2.28502,0.86,SimpleBudgetV1
20,24_Tongue_Th,FVS,atacama,11,1,0.827908,0.857874,2.41786,0.42,SimpleBudgetV1
21,07_Aa,AAA,atacama,11,1,0.81565,0.886477,2.4413,0.86,SimpleBudgetV1
22,22_MBP,MBP,atacama,11,1,0.862738,0.895427,2.52168,1,SimpleBudgetV1
23,07_Aa,AAA,atacama,11,1,0.87558,0.919166,2.57414,0.86,SimpleBudgetV1
24,06_Eh,EEE,desert,12,1,0.91836,0.944044,2.67118,0.74,SimpleBudgetV1
25,06_Eh,EEE,desert,12,1,0.937623,0.985323,2.75802,0.74,SimpleBudgetV1
