Metric,Value
CaseId,case_000123
Transcript,"Chile has the driest non-polar desert in the world, the Atacama Desert."
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,7.19172
EstimatedTextDurationSec,2.86853
AudioDurationSec,5.33687
EffectiveSegmentScaleMax,1.26574
ScaleCapHitCount,0
CommitLeadMeanSec,0.0672517
MaxVisiblePoseGapSec,1.16
VisiblePoseGapCountOver250ms,1
