Metric,Value
CaseId,case_000132
Transcript,The Democratic Republic of Congo is the second-largest country in Africa by area.
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,7.55913
EstimatedTextDurationSec,3.35296
AudioDurationSec,5.25688
EffectiveSegmentScaleMax,1.37366
ScaleCapHitCount,0
CommitLeadMeanSec,0.0266273
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
