Metric,Value
CaseId,case_000204
Transcript,Nepal is famous for its Himalayas and the ancient city of Kathmandu. What would you like to do?
PlannedEventCount,37
CommittedEventCount,37
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.5996
EstimatedTextDurationSec,8.0199
AudioDurationSec,5.25688
EffectiveSegmentScaleMax,1.4175
ScaleCapHitCount,0
CommitLeadMeanSec,0.105709
MaxVisiblePoseGapSec,0.236658
VisiblePoseGapCountOver250ms,0
