Metric,Value
CaseId,case_000215
Transcript,Australia has unique wildlife and beautiful beaches. What can I offer you today?
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,12.0015
EstimatedTextDurationSec,6.03288
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.27776
ScaleCapHitCount,0
CommitLeadMeanSec,0.0246684
MaxVisiblePoseGapSec,0.733333
VisiblePoseGapCountOver250ms,2
