PlaybackSec,EventIndex,PoseID,SourceWord,CommittedCenterSec,SubmittedWeight,SourceStrength
0.366667,0,24_Tongue_Th,take,0.385722,0.151995,0.307497
0.383333,0,24_Tongue_Th,take,0.385722,0.307497,0.307497
0.4,0,24_Tongue_Th,take,0.385722,0.306213,0.307497
0.416667,0,24_Tongue_Th,take,0.385722,0.219902,0.307497
0.416667,1,07_Aa,take,0.47612,0.0988837,0.86
0.433333,0,24_Tongue_Th,take,0.385722,0.0569136,0.307497
0.433333,1,07_Aa,take,0.47612,0.480987,0.86
0.45,1,07_Aa,take,0.47612,0.812042,0.86
0.466667,1,07_Aa,take,0.47612,0.86,0.86
0.483334,1,07_Aa,take,0.47612,0.86,0.86
0.5,1,07_Aa,take,0.47612,0.85877,0.86
0.516667,1,07_Aa,take,0.47612,0.839389,0.86
0.533333,1,07_Aa,take,0.47612,0.783982,0.86
0.55,1,07_Aa,take,0.47612,0.68909,0.86
0.566667,1,07_Aa,take,0.47612,0.56234,0.86
0.583333,1,07_Aa,take,0.47612,0.418645,0.86
0.6,1,07_Aa,take,0.47612,0.3612,0.86
0.616667,1,07_Aa,take,0.47612,0.3612,0.86
0.633333,1,07_Aa,take,0.47612,0.0647583,0.86
0.65,1,07_Aa,take,0.47612,0.0155064,0.86
0.666667,1,07_Aa,take,0.47612,0.000505116,0.86
0.666667,2,10_Or,your,0.689884,0.899675,0.657
0.683333,2,10_Or,your,0.689884,0.94,0.657
0.7,2,10_Or,your,0.689884,0.94,0.657
0.716667,2,10_Or,your,0.689884,0.939465,0.657
0.733333,2,10_Or,your,0.689884,0.921038,0.657
0.75,2,10_Or,your,0.689884,0.859566,0.657
0.766667,2,10_Or,your,0.689884,0.74931,0.657
0.783333,2,10_Or,your,0.689884,0.600212,0.657
0.8,2,10_Or,your,0.689884,0.432252,0.657
0.816667,2,10_Or,your,0.689884,0.3948,0.657
0.833333,2,10_Or,your,0.689884,0.3948,0.657
0.85,2,10_Or,your,0.689884,0.0469882,0.657
0.85,4,22_MBP,time,0.900837,0.161026,1
0.866666,2,10_Or,your,0.689884,0.00273221,0.657
0.866666,3,06_Eh,time,0.890837,0.117925,0.74
0.866666,4,22_MBP,time,0.900837,0.999996,1
0.883333,3,06_Eh,time,0.890837,0.3108,0.74
0.883333,4,22_MBP,time,0.900837,1,1
0.9,3,06_Eh,time,0.890837,0.3108,0.74
0.9,4,22_MBP,time,0.900837,1,1
0.916666,3,06_Eh,time,0.890837,0.215181,0.74
0.916666,4,22_MBP,time,0.900837,1,1
0.933333,4,22_MBP,time,0.900837,1,1
0.95,4,22_MBP,time,0.900837,0.916693,1
0.966666,4,22_MBP,time,0.900837,0.533233,1
0.983333,4,22_MBP,time,0.900837,0.120208,1
1.41667,5,07_Aa,and,1.43646,0.693887,0.86
1.43333,5,07_Aa,and,1.43646,0.86,0.86
1.45,5,07_Aa,and,1.43646,0.86,0.86
1.46667,5,07_Aa,and,1.43646,0.852888,0.86
1.48333,5,07_Aa,and,1.43646,0.809929,0.86
1.5,5,07_Aa,and,1.43646,0.717476,0.86
1.51667,5,07_Aa,and,1.43646,0.58165,0.86
1.53333,5,07_Aa,and,1.43646,0.421633,0.86
1.55,5,07_Aa,and,1.43646,0.3612,0.86
1.56667,5,07_Aa,and,1.43646,0.3612,0.86
1.58333,5,07_Aa,and,1.43646,0.0434627,0.86
1.6,5,07_Aa,and,1.43646,0.00518346,0.86
1.6,6,09_Oh,don't,1.62721,0.0994759,0.82
1.61667,6,09_Oh,don't,1.62721,0.82,0.82
1.63333,6,09_Oh,don't,1.62721,0.82,0.82
1.65,6,09_Oh,don't,1.62721,0.818647,0.82
1.66667,6,09_Oh,don't,1.62721,0.79238,0.82
1.68333,6,09_Oh,don't,1.62721,0.716408,0.82
1.7,6,09_Oh,don't,1.62721,0.590868,0.82
1.71667,6,09_Oh,don't,1.62721,0.433682,0.82
1.73333,6,09_Oh,don't,1.62721,0.3444,0.82
1.75,6,09_Oh,don't,1.62721,0.3444,0.82
1.76667,6,09_Oh,don't,1.62721,0.0439902,0.82
1.78333,6,09_Oh,don't,1.62721,0.00476344,0.82
1.78333,7,06_Eh,let,1.80827,0.225029,0.74
1.8,7,06_Eh,let,1.80827,0.74,0.74
