Metric,Value
CaseId,case_000122
Transcript,Paraguay is known for its unique gaucho culture and the Iguazu Falls on its border with Brazil and Argentina.
PlannedEventCount,41
CommittedEventCount,41
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.87131
EstimatedTextDurationSec,4.46885
AudioDurationSec,6.85687
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.0545743
MaxVisiblePoseGapSec,0.183333
VisiblePoseGapCountOver250ms,0
