Metric,Value
CaseId,case_000128
Transcript,Madagascar is the only place in the world where lemurs are found in the wild.
PlannedEventCount,30
CommittedEventCount,30
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.51926
EstimatedTextDurationSec,3.01523
AudioDurationSec,3.81687
EffectiveSegmentScaleMax,1.30133
ScaleCapHitCount,0
CommitLeadMeanSec,0.0141761
MaxVisiblePoseGapSec,0.183333
VisiblePoseGapCountOver250ms,0
