case_id,status,bucket,risk_score,flag_count,fallback_count,unmapped_viseme_count,word_text_mismatch_count,word_count_mismatch_count,label_mismatch_count,monotonic_adjustment_count,speech_region_count,word_count,word_head_count,viseme_count,phrase_count,sentence_count
case_0010_20260629_093912_121_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000009_00,draft,needs_review,21,12,0,0,0,0,4,0,1,21,21,34,3,1
case_0100_20260629_104445_090_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000100_00,draft,needs_review,20,7,0,0,1,0,1,1,3,8,8,19,3,3
case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00,draft,needs_review,19,9,0,0,0,0,4,0,2,19,19,27,3,1
case_0051_20260629_094539_708_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000050_00,draft,needs_review,18,7,0,0,0,0,4,0,2,12,12,27,2,2
case_0008_20260629_093851_414_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000007_00,draft,needs_review,16,10,0,0,0,0,1,0,1,13,13,21,2,1
case_0015_20260629_093954_282_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000014_00,draft,needs_review,16,5,0,0,0,0,5,0,1,11,11,21,2,1
case_0056_20260629_103618_921_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000055_00,draft,needs_review,16,5,0,0,0,0,4,0,1,12,12,20,2,2
case_0064_20260629_103727_346_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000063_00,draft,needs_review,16,5,0,0,0,0,5,0,2,14,14,23,2,2
case_0090_20260629_104310_368_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000090_00,draft,needs_review,16,11,0,0,0,0,1,0,2,15,15,28,2,2
case_0002_20260629_093744_269_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000001_00,draft,needs_review,15,2,0,0,0,0,6,0,2,13,13,24,2,2
case_0048_20260629_094511_055_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000047_00,draft,needs_review,15,4,0,0,0,0,5,0,2,11,11,23,2,2
case_0079_20260629_104042_251_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000078_00,draft,needs_review,15,5,0,0,0,0,4,0,1,10,10,20,2,2
case_0078_20260629_104035_184_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000077_00,draft,needs_review,14,6,0,0,0,0,3,0,2,10,10,19,2,2
case_0006_20260629_093822_552_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000005_00,draft,needs_review,13,3,0,0,0,0,4,0,2,12,12,18,6,2
case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00,draft,needs_review,13,4,0,0,1,0,2,0,1,9,9,13,1,1
case_0055_20260629_103609_480_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000054_00,draft,needs_review,13,6,0,0,0,0,3,0,2,13,13,22,2,2
case_0070_20260629_103928_848_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000069_00,draft,needs_review,13,5,0,0,0,0,3,0,2,14,14,25,2,2
case_0071_20260629_103939_498_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000070_00,draft,needs_review,13,5,0,0,0,0,3,0,2,9,9,24,2,2
case_0081_20260629_104056_615_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000080_00,draft,needs_review,13,5,0,0,0,0,3,0,2,10,10,20,2,2
case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00,draft,needs_review,12,3,0,0,0,0,4,0,2,13,13,25,2,2
case_0058_20260629_103639_456_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000057_00,draft,needs_review,12,3,0,0,0,0,3,1,2,8,8,15,2,2
case_0003_20260629_093754_099_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000002_00,draft,needs_review,11,3,0,0,0,0,4,0,1,10,10,20,4,2
case_0005_20260629_093809_845_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000004_00,draft,needs_review,11,8,0,0,0,0,0,0,2,16,16,25,8,2
case_0013_20260629_093937_130_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000012_00,draft,needs_review,11,7,0,0,0,0,2,0,1,15,15,28,1,1
case_0035_20260629_094323_803_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000034_00,draft,needs_review,11,6,0,0,0,0,1,0,3,13,13,23,3,2
case_0036_20260629_094333_229_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000035_00,draft,needs_review,11,7,0,0,0,0,1,0,2,12,12,15,4,2
case_0052_20260629_094550_667_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000051_00,draft,needs_review,11,4,0,0,0,0,3,0,2,13,13,24,2,2
case_0054_20260629_103559_158_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000053_00,draft,needs_review,11,4,0,0,0,0,3,0,2,13,13,20,2,2
case_0060_20260629_103657_814_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000059_00,draft,needs_review,11,4,0,0,0,0,3,0,2,14,14,20,2,2
case_0074_20260629_104002_655_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000073_00,draft,needs_review,11,6,0,0,0,0,2,0,2,11,11,18,2,2
case_0083_20260629_104152_081_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000083_00,draft,needs_review,11,5,0,0,0,0,2,0,2,9,9,16,2,2
case_0088_20260629_104243_189_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000088_00,draft,needs_review,11,8,0,0,0,0,1,0,2,15,15,28,2,2
