ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,04_Ih,it,0,0,0.120231,0.44069,0.4,0.48138,0.528612,0.08069,0.09,1.15465
1,1,06_Eh,stretches,1,0,0.283995,0.629779,0.565818,0.693739,0.835445,0.0697787,0.09,1.15465
2,2,06_Eh,stretches,1,0,0.454438,0.769779,0.682279,0.857279,0.74,0.0897787,0.09,1.15465
3,3,14_ChJjSh,stretches,1,0,0.472429,0.847353,0.788313,0.906394,0.682,0.0873532,0.09,1.15465
4,4,06_Eh,stretches,1,0,0.562385,0.951221,0.8725,1.02994,0.74,0.0712204,0.09,1.15465
5,5,20_FV,for,2,0,0.658278,1.06194,1.03322,1.09067,1,0.0619433,0.09,1.15465
6,6,10_Or,for,2,0,0.753634,1.17205,1.13136,1.21274,0.3,0.0520457,0.09,1.15465
7,7,09_Oh,over,3,0,0.888204,1.32743,1.26599,1.38886,0.82,0.0874257,0.09,1.15465
8,8,20_FV,over,3,0,0.983214,1.43713,1.38447,1.48979,1,0.0771291,0.09,1.15465
9,9,06_Eh,over,3,0,1.06112,1.52709,1.43959,1.61459,0.74,0.0870858,0.09,1.15465
10,10,04_Ih,six,4,0,1.38773,1.9042,1.81777,1.99063,0.64,0.0641998,0.09,1.15465
11,11,06_Eh,zero,5,0,1.65117,2.20838,2.14694,2.26981,0.74,0.0883777,0.09,1.15465
12,12,09_Oh,zero,5,0,1.72908,2.29833,2.21083,2.38583,0.82,0.0583344,0.09,1.15465
13,13,09_Oh,zero,5,0,1.84119,2.33757,2.28507,2.39007,0.82,0.0575738,0.09,0.863404
14,14,06_Eh,kilometers,6,0,1.99856,2.37692,2.30841,2.44543,0.829069,0.056917,0.09,0.863404
15,15,22_MBP,kilometers,6,0,2.16336,2.41692,2.35368,2.48016,1,0.056917,0.09,0.863404
16,16,14_ChJjSh,kilometers,6,0,2.21829,2.43614,2.37817,2.49411,0.682,0.0761437,0.09,0.863404
17,17,06_Eh,kilometers,6,0,2.24271,2.44614,2.35864,2.53364,0.74,0.0861437,0.09,0.863404
18,18,11_Oo,quite,7,1,3.1244,3.27696,3.20211,3.35182,0.94,0.0769653,0.09,1
19,19,07_Aa,a,8,1,3.36556,3.33725,3.30201,3.37249,0.86,-0.649623,0.15,1
20,20,03_Ee,discovery,9,1,3.56249,3.38648,3.30714,3.46583,0.86,-0.60039,0.15,1
21,21,14_ChJjSh,discovery,9,1,3.78222,3.52648,3.45934,3.59363,0.682,-0.46039,0.15,1
22,22,03_Ee,discovery,9,1,3.80663,3.55709,3.46959,3.64459,0.86,-0.429786,0.15,1
23,23,20_FV,discovery,9,1,3.82562,3.57608,3.50283,3.64932,1,-0.410796,0.15,1
24,24,03_Ee,discovery,9,1,3.98975,3.71608,3.64283,3.78932,0.86,-0.270796,0.15,1
