Metric,Value
CaseId,case_000077
Transcript,Fluorescent lights might make the bodega too bright. What do you think?
PlannedEventCount,25
CommittedEventCount,25
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,13.3457
EstimatedTextDurationSec,2.6322
AudioDurationSec,3.57687
EffectiveSegmentScaleMax,1.1225
ScaleCapHitCount,0
CommitLeadMeanSec,0.0691642
MaxVisiblePoseGapSec,0.330002
VisiblePoseGapCountOver250ms,1
