index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,dominica,0,0,0,0.042614,1.000000,M,2,cmu_bilabial
1,03_Ee,dominica,0,0,0,0.059659,0.920000,IH,3,cmu_front_vowel
2,07_Aa,has,1,0,0,0.159091,0.920000,AE,1,cmu_open_vowel
3,07_Aa,stunning,2,0,0,0.219697,0.920000,AH,2,cmu_open_vowel
4,12_Ww-Oo-,waterfalls,3,0,0,0.279830,0.880000,W,0,cmu_w
5,09_Oh,waterfalls,3,0,0,0.294034,0.920000,AO,1,cmu_oh_vowel
6,20_FV,waterfalls,3,0,0,0.336648,0.960000,F,4,cmu_fv
7,09_Oh,waterfalls,3,0,0,0.350852,0.920000,AO,5,cmu_oh_vowel
8,07_Aa,and,4,0,0,0.393939,0.500000,AH,0,cmu_open_vowel
9,07_Aa,tropical,5,0,0,0.467330,0.920000,AA,2,cmu_open_vowel
10,22_MBP,tropical,5,0,0,0.481534,1.000000,P,3,cmu_bilabial
11,05_Ay,rainforests,6,0,0,0.565909,0.940000,AY,1,cmu_ay
12,20_FV,rainforests,6,0,0,0.593182,0.960000,F,3,cmu_fv
13,09_Oh,rainforests,6,0,0,0.606818,0.920000,AO,4,cmu_oh_vowel
14,12_Ww-Oo-,want,7,1,1,0.687500,0.880000,W,0,cmu_w
15,07_Aa,want,7,1,1,0.698864,0.920000,AA,1,cmu_open_vowel
16,07_Aa,a,8,1,1,0.750000,0.500000,AH,0,cmu_open_vowel
17,22_MBP,break,9,1,1,0.778409,1.000000,B,0,cmu_bilabial
18,06_Eh,break,9,1,1,0.801136,0.920000,EY,2,cmu_eh_vowel
19,20_FV,from,10,1,1,0.823864,0.960000,F,0,cmu_fv
20,07_Aa,from,10,1,1,0.846591,0.920000,AH,2,cmu_open_vowel
21,22_MBP,from,10,1,1,0.857955,1.000000,M,3,cmu_bilabial
22,14_ChJjSh,geography,11,1,1,0.872159,0.820000,JH,0,cmu_affricate_sibilant
23,03_Ee,geography,11,1,1,0.889205,0.500000,IY,1,cmu_front_vowel
24,07_Aa,geography,11,1,1,0.906250,0.920000,AA,2,cmu_open_vowel
25,20_FV,geography,11,1,1,0.974432,0.960000,F,6,cmu_fv
26,03_Ee,geography,11,1,1,0.991477,0.500000,IY,7,cmu_front_vowel
