ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,05_Ay,sorabaia,0,0,0.108314,0.508227,0.43,0.586454,0.92,0.0682271,0.09,1
1,1,14_ChJjSh,sorabaia,0,0,0.324943,0.648227,0.582035,0.714419,0.762,0.088227,0.09,1
2,2,22_MBP,sorabaia,0,0,0.338482,0.726766,0.654557,0.798976,1,0.0867662,0.09,1
3,3,05_Ay,sorabaia,0,0,0.349013,0.748925,0.661425,0.836425,0.84,0.0689254,0.09,1
4,4,05_Ay,sorabaia,0,0,0.488919,0.888831,0.801331,0.976331,0.92,0.0888313,0.09,1
5,5,09_Oh,sounds,1,0,0.795642,1.19555,1.10864,1.28247,0.82,0.0755548,0.09,1
6,6,04_Ih,interesting,2,0,1.0211,1.42101,1.33596,1.50606,0.92,0.0610093,0.09,1
7,7,24_Tongue_Th,interesting,2,0,1.19119,1.56101,1.48305,1.63897,0.42,0.0810094,0.09,1
8,8,14_ChJjSh,interesting,2,0,1.36128,1.70101,1.62305,1.77897,0.82,0.0610095,0.09,1
9,9,04_Ih,interesting,2,0,1.53138,1.84101,1.75351,1.92851,0.86,0.0810096,0.09,1
10,10,06_Eh,enjoy,3,1,2.17277,2.42178,2.36,2.48356,0.82,0.06178,0.09,1
11,11,03_Ee,enjoy,3,1,2.38458,2.56178,2.47428,2.64928,0.86,0.0817802,0.09,1
12,12,10_Or,your,4,1,2.7705,3.01951,2.93201,3.10701,0.75,-0.647362,0.15,1
13,13,07_Aa,travels,5,1,3.06182,3.31083,3.24906,3.37261,0.86,-0.35604,0.15,1
14,14,20_FV,travels,5,1,3.12486,3.37387,3.32092,3.42683,1,-0.293,0.15,1
15,15,07_Aa,travels,5,1,3.16017,3.40918,3.32168,3.49668,0.86,-0.257697,0.15,1
