EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,09_Oh,OOO,houston,0,0,0.0302426,0.0883558,0.0725413,0.82,SimpleBudgetV1
1,09_Oh,OOO,houston,0,0,0.0664151,0.17434,0.147259,0.82,SimpleBudgetV1
2,04_Ih,EEE,is,1,0,0.253962,0.292453,0.334218,0.263957,SimpleBudgetV1
3,12_Ww-Oo-,WUH,where,2,0,0.31761,0.367925,0.419311,1,SimpleBudgetV1
4,06_Eh,EEE,where,2,0,0.371069,0.45283,0.503942,0.74,SimpleBudgetV1
5,24_Tongue_Th,FVS,they,3,0,0.477987,0.515723,0.607808,0.42,SimpleBudgetV1
6,03_Ee,EEE,they,3,0,0.528302,0.610063,0.696287,0.86,SimpleBudgetV1
7,07_Aa,AAA,launch,4,0,0.685535,0.767296,0.888631,0.86,SimpleBudgetV1
8,14_ChJjSh,FVS,launch,4,0,0.736897,0.774633,0.924535,0.682,SimpleBudgetV1
9,09_Oh,OOO,rockets,5,0,0.807871,0.865984,1.02382,0.82,SimpleBudgetV1
10,06_Eh,EEE,rockets,5,0,0.858868,0.966792,1.11667,0.74,SimpleBudgetV1
