Metric,Value
CaseId,case_000055
Transcript,"We've got whole wheat, sourdough, and a ciabatta for something different."
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.5451
EstimatedTextDurationSec,5.19227
AudioDurationSec,3.89687
EffectiveSegmentScaleMax,1.20791
ScaleCapHitCount,0
CommitLeadMeanSec,0.202489
MaxVisiblePoseGapSec,0.699999
VisiblePoseGapCountOver250ms,2
