Metric,Value
CaseId,case_000260
Transcript,Dar es Salaam has a vibrant market and friendly vibe. Enjoy your visit!
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.2334
EstimatedTextDurationSec,2.98891
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.16159
ScaleCapHitCount,0
CommitLeadMeanSec,0.0540635
MaxVisiblePoseGapSec,0.893336
VisiblePoseGapCountOver250ms,1
