word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,dominican,0.370000,0.930000,0,-1,-1
1,republic,0.930000,1.460000,0,-1,-1
2,has,1.460000,1.720000,0,-1,-1
3,beautiful,1.720000,2.350000,0,-1,-1
4,beaches,2.350000,2.860000,0,-1,-1
5,and,2.920000,3.210000,0,-1,-1
6,rich,3.210000,3.460000,0,-1,-1
7,history,3.460000,4.030000,0,-1,-1
8,want,5.010000,5.200000,1,-1,-1
9,to,5.200000,5.260000,1,-1,-1
10,try,5.260000,5.540000,1,-1,-1
11,a,5.540000,5.630000,1,-1,-1
12,sandwich,5.630000,6.320000,1,-1,-1
