EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,18_Uh,AAA,cuba,0,0,0.0190074,0.0416544,0.0997735,0.68,SimpleBudgetV1
1,07_Aa,AAA,cuba,0,0,0.0258824,0.0679412,0.154316,0.86,SimpleBudgetV1
2,22_MBP,MBP,cuba,0,0,0.0408456,0.0602573,0.166289,1,SimpleBudgetV1
3,07_Aa,AAA,cuba,0,0,0.0578309,0.0837132,0.232805,0.86,SimpleBudgetV1
4,04_Ih,EEE,is,1,0,0.0989706,0.113971,0.350235,0.22,SimpleBudgetV1
5,24_Tongue_Th,FVS,the,2,0,0.126618,0.136618,0.432956,0.42,SimpleBudgetV1
6,06_Eh,EEE,the,2,0,0.144412,0.160294,0.501165,0.74,SimpleBudgetV1
7,09_Oh,OOO,only,3,0,0.167904,0.190551,0.58957,0.82,SimpleBudgetV1
8,03_Ee,EEE,only,3,0,0.195,0.237059,0.710629,0.86,SimpleBudgetV1
9,03_Ee,EEE,only,3,0,0.226949,0.252831,0.789117,0.86,SimpleBudgetV1
10,09_Oh,OOO,country,4,0,0.261786,0.284433,0.898393,0.82,SimpleBudgetV1
11,09_Oh,OOO,country,4,0,0.275882,0.317941,0.976691,0.82,SimpleBudgetV1
12,03_Ee,EEE,country,4,0,0.311471,0.337353,1.06715,0.86,SimpleBudgetV1
13,04_Ih,EEE,in,5,0,0.348971,0.363971,1.17261,0.22,SimpleBudgetV1
14,24_Tongue_Th,FVS,the,6,0,0.376618,0.386618,1.25533,0.42,SimpleBudgetV1
15,06_Eh,EEE,the,6,0,0.394412,0.410294,1.32354,0.74,SimpleBudgetV1
16,12_Ww-Oo-,WUH,world,7,0,0.417892,0.4375,1.40691,1,SimpleBudgetV1
17,09_Oh,OOO,world,7,0,0.438726,0.470588,1.49559,0.82,SimpleBudgetV1
18,24_Tongue_Th,FVS,that,8,0,0.482843,0.497549,1.6125,0.42,SimpleBudgetV1
19,07_Aa,AAA,that,8,0,0.501838,0.534926,1.70522,0.86,SimpleBudgetV1
20,18_Uh,AAA,uses,9,0,0.540453,0.563101,1.81507,0.68,SimpleBudgetV1
21,06_Eh,EEE,uses,9,0,0.567549,0.609608,1.93613,0.74,SimpleBudgetV1
22,22_MBP,MBP,both,10,0,0.621324,0.636029,2.06803,1,SimpleBudgetV1
23,09_Oh,OOO,both,10,0,0.642157,0.67402,2.16478,0.82,SimpleBudgetV1
24,24_Tongue_Th,FVS,both,10,0,0.653493,0.668199,2.17385,0.42,SimpleBudgetV1
25,22_MBP,MBP,metric,11,0,0.682206,0.701618,2.27604,1,SimpleBudgetV1
26,06_Eh,EEE,metric,11,0,0.692721,0.715368,2.31595,0.74,SimpleBudgetV1
27,06_Eh,EEE,metric,11,0,0.709706,0.751765,2.40375,0.74,SimpleBudgetV1
28,04_Ih,EEE,metric,11,0,0.731544,0.757427,2.44899,0.72,SimpleBudgetV1
29,07_Aa,AAA,and,12,0,0.782794,0.797794,2.59967,0.86,SimpleBudgetV1
30,22_MBP,MBP,imperial,13,0,0.816268,0.842739,2.72865,1,SimpleBudgetV1
31,10_Or,OOO,imperial,13,0,0.850735,0.881618,2.84929,0.22,SimpleBudgetV1
32,07_Aa,AAA,imperial,13,0,0.844118,0.901471,2.87106,0.86,SimpleBudgetV1
33,07_Aa,AAA,imperial,13,0,0.882721,0.915809,2.95813,0.86,SimpleBudgetV1
34,18_Uh,AAA,units,14,0,0.915882,0.938529,3.05004,0.68,SimpleBudgetV1
35,04_Ih,EEE,units,14,0,0.945,0.987059,3.17775,0.411063,SimpleBudgetV1
