Metric,Value
CaseId,case_000112
Transcript,Cuba is the only country in the world that uses both metric and imperial units.
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.62781
EstimatedTextDurationSec,3.2895
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.36342
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0249847
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
