Metric,Value
CaseId,case_000064
Transcript,"Time management and customer satisfaction, mostly. Though I could use a bit more of both these days."
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.3187
EstimatedTextDurationSec,8.3601
AudioDurationSec,6.05688
EffectiveSegmentScaleMax,1.31532
ScaleCapHitCount,0
CommitLeadMeanSec,0.323552
MaxVisiblePoseGapSec,0.55
VisiblePoseGapCountOver250ms,3
