ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,07_Aa,istanbul,0,0,0.0642573,0.61792,0.56,0.67584,0.86,0.0579203,0.09,1.24806
1,1,14_ChJjSh,istanbul,0,0,0.192772,0.75792,0.708911,0.80693,0.72,0.0779202,0.09,1.24806
2,2,07_Aa,istanbul,0,0,0.207051,0.796136,0.708636,0.883636,0.86,0.0761363,0.09,1.24806
3,3,22_MBP,istanbul,0,0,0.245427,0.844032,0.790567,0.897497,1,0.0840319,0.09,1.24806
4,4,18_Uh,istanbul,0,0,0.29005,0.899724,0.828438,0.971011,0.72,0.0597244,0.09,1.24806
5,5,07_Aa,has,1,0,0.439805,1.08663,1.05633,1.11693,0.86,0.0866286,0.09,1.24806
6,6,24_Tongue_Th,the,2,0,0.521198,1.18821,1.16071,1.21571,0.42,0.0682117,0.09,1.24806
7,7,06_Eh,the,2,0,0.588311,1.27197,1.23989,1.30405,0.74,0.0719733,0.09,1.24806
8,8,22_MBP,blue,3,0,0.662405,1.36445,1.33474,1.39415,1,0.0844477,0.09,1.24806
9,9,11_Oo,blue,3,0,0.757601,1.48326,1.4189,1.54761,0.94,0.0832585,0.09,1.24806
10,10,22_MBP,mosque,4,0,0.86073,1.61197,1.58227,1.64167,1,0.0519704,0.09,1.24806
11,11,09_Oh,mosque,4,0,0.890479,1.6491,1.61445,1.68375,0.82,0.0890986,0.09,1.24806
12,12,11_Oo,mosque,4,0,0.955926,1.73078,1.66642,1.79514,0.94,0.0507811,0.09,1.24806
13,13,11_Oo,mosque,4,0,1.00617,1.79349,1.75388,1.83309,0.94,0.0734869,0.09,1.24806
14,14,07_Aa,and,5,0,1.12204,1.93811,1.90781,1.9684,0.86,0.0581063,0.09,1.24806
15,15,07_Aa,hagia,6,0,1.26055,2.11098,2.06523,2.15672,0.86,0.070976,0.09,1.24806
16,16,07_Aa,hagia,6,0,1.33385,2.20246,2.11751,2.28741,0.86,0.0824602,0.09,1.24806
17,17,09_Oh,sophia,7,0,1.50925,2.42137,2.37563,2.46711,0.82,0.0613694,0.09,1.24806
18,18,22_MBP,sophia,7,0,1.55288,2.47582,2.43662,2.51503,1,0.075824,0.09,1.24806
19,19,07_Aa,sophia,7,0,1.59564,2.52919,2.44424,2.61414,0.86,0.08919,0.09,1.24806
20,20,07_Aa,sophia,7,0,1.66196,2.61196,2.55968,2.66424,0.86,0.0519617,0.09,1.24806
21,21,22_MBP,both,8,1,1.94451,2.96459,2.93489,2.99429,1,0.0845935,0.09,1.24806
22,22,09_Oh,both,8,1,2.0397,3.0834,3.01905,3.14776,0.82,0.0834045,0.09,1.24806
23,23,24_Tongue_Th,both,8,1,2.04863,3.09454,3.06484,3.12424,0.42,0.0545428,0.09,1.24806
24,24,22_MBP,breathtaking,9,1,2.1587,3.23192,3.17845,3.28538,1,0.0719178,0.09,1.24806
25,25,03_Ee,breathtaking,9,1,2.21224,3.29875,3.23637,3.36112,0.86,0.0587487,0.09,1.24806
26,26,24_Tongue_Th,breathtaking,9,1,2.25687,3.35444,3.30097,3.4079,0.42,0.0744417,0.09,1.24806
27,27,03_Ee,breathtaking,9,1,2.33005,3.44578,3.35827,3.53328,0.86,0.085777,0.09,1.24806
28,28,04_Ih,breathtaking,9,1,2.40561,3.54008,3.46879,3.61137,0.72,0.0600834,0.09,1.24806
