Metric,Value
CaseId,case_000238
Transcript,"Istanbul has the Blue Mosque and Hagia Sophia, both breathtaking."
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4062
EstimatedTextDurationSec,2.36998
AudioDurationSec,4.37687
EffectiveSegmentScaleMax,1.24806
ScaleCapHitCount,0
CommitLeadMeanSec,0.0716892
MaxVisiblePoseGapSec,0.533336
VisiblePoseGapCountOver250ms,1
