word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,cameroon,0.130000,0.730000,0,-1,-1
1,has,0.730000,0.980000,0,-1,-1
2,mount,0.980000,1.290000,0,-1,-1
3,cameroon,1.290000,1.990000,0,-1,-1
4,the,2.260000,2.370000,1,-1,-1
5,highest,2.370000,2.850000,1,-1,-1
6,peak,2.850000,3.110000,1,-1,-1
7,and,3.110000,3.230000,1,-1,-1
8,tropical,3.230000,3.670000,1,-1,-1
9,rainforests,3.670000,4.500000,1,-1,-1
10,need,4.950000,5.150000,2,-1,-1
11,anything,5.150000,5.490000,2,-1,-1
12,else,5.490000,5.910000,2,-1,-1
