Metric,Value
CaseId,case_000066
Transcript,"Around noon, usually. Right after the office workers start their day."
PlannedEventCount,23
CommittedEventCount,23
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.1844
EstimatedTextDurationSec,2.8875
AudioDurationSec,4.53687
EffectiveSegmentScaleMax,1.34568
ScaleCapHitCount,0
CommitLeadMeanSec,0.0514072
MaxVisiblePoseGapSec,0.236668
VisiblePoseGapCountOver250ms,0
