word_index,word,start,end,speech_region_index,sentence_index
0,if,0.510000,0.650000,0,-1
1,the,0.650000,0.740000,0,-1
2,train,0.740000,1.160000,0,-1
3,leaves,1.160000,1.450000,0,-1
4,early,1.480000,1.980000,0,-1
5,call,2.510000,2.750000,1,-1
6,me,2.750000,2.930000,1,-1
7,at,2.930000,3.040000,1,-1
8,once,3.040000,3.380000,1,-1
9,so,3.380000,3.640000,1,-1
10,i,3.640000,3.730000,1,-1
11,can,3.730000,3.920000,1,-1
12,change,3.920000,4.270000,1,-1
13,the,4.270000,4.370000,1,-1
14,reservation,4.370000,5.130000,1,-1
