word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,visit,0.000000,0.390000,0,-1,-1
1,the,0.390000,0.480000,0,-1,-1
2,canals,0.480000,1.040000,0,-1,-1
3,in,1.040000,1.180000,0,-1,-1
4,venice,1.180000,1.610000,0,-1,-1
5,or,1.610000,1.780000,0,-1,-1
6,the,1.780000,1.860000,0,-1,-1
7,colosseum,1.860000,2.550000,0,-1,-1
8,in,2.550000,2.720000,0,-1,-1
9,rome,2.720000,3.110000,0,-1,-1
10,want,6.360000,6.740000,1,-1,-1
11,a,6.770000,6.850000,1,-1,-1
12,sandwich,6.850000,7.620000,1,-1,-1
