start,end,phone,word,confidence,word_index,speech_region_index,phone_index,phrase_index,sentence_index,alignment_reason
0.100000,0.200000,L,like,1.0,0,0,0,0,-1,mfa_textgrid_phone
0.200000,0.310000,AY1,like,1.0,0,0,1,0,-1,mfa_textgrid_phone
0.310000,0.450000,K,like,1.0,0,0,2,0,-1,mfa_textgrid_phone
0.490000,0.670000,M,moonlight,1.0,1,0,0,0,-1,mfa_textgrid_phone
0.670000,0.810000,UW1,moonlight,1.0,1,0,1,0,-1,mfa_textgrid_phone
0.810000,0.870000,N,moonlight,1.0,1,0,2,0,-1,mfa_textgrid_phone
0.870000,0.940000,L,moonlight,1.0,1,0,3,0,-1,mfa_textgrid_phone
0.940000,1.080000,AY2,moonlight,1.0,1,0,4,0,-1,mfa_textgrid_phone
1.080000,1.190000,T,moonlight,1.0,1,0,5,0,-1,mfa_textgrid_phone
1.270000,1.380000,AO1,or,1.0,2,0,0,0,-1,mfa_textgrid_phone
1.380000,1.430000,R,or,1.0,2,0,1,0,-1,mfa_textgrid_phone
1.430000,1.580000,P,parasite,1.0,3,0,0,0,-1,mfa_textgrid_phone
1.580000,1.640000,EH1,parasite,1.0,3,0,1,0,-1,mfa_textgrid_phone
1.640000,1.720000,R,parasite,1.0,3,0,2,0,-1,mfa_textgrid_phone
1.720000,1.770000,AH0,parasite,1.0,3,0,3,0,-1,mfa_textgrid_phone
1.770000,1.910000,S,parasite,1.0,3,0,4,0,-1,mfa_textgrid_phone
1.910000,1.940000,AY2,parasite,1.0,3,0,5,0,-1,mfa_textgrid_phone
1.940000,2.120000,T,parasite,1.0,3,0,6,0,-1,mfa_textgrid_phone
2.490000,2.660000,S,silent,1.0,4,1,0,1,-1,mfa_textgrid_phone
2.660000,2.800000,AY1,silent,1.0,4,1,1,1,-1,mfa_textgrid_phone
2.800000,2.860000,L,silent,1.0,4,1,2,1,-1,mfa_textgrid_phone
2.860000,2.920000,AH0,silent,1.0,4,1,3,1,-1,mfa_textgrid_phone
2.920000,2.950000,N,silent,1.0,4,1,4,1,-1,mfa_textgrid_phone
2.950000,2.990000,T,silent,1.0,4,1,5,1,-1,mfa_textgrid_phone
2.990000,3.060000,R,recommendations,1.0,5,1,0,1,-1,mfa_textgrid_phone
3.060000,3.100000,EH2,recommendations,1.0,5,1,1,1,-1,mfa_textgrid_phone
3.100000,3.170000,K,recommendations,1.0,5,1,2,1,-1,mfa_textgrid_phone
3.170000,3.210000,AH0,recommendations,1.0,5,1,3,1,-1,mfa_textgrid_phone
3.210000,3.270000,M,recommendations,1.0,5,1,4,1,-1,mfa_textgrid_phone
3.270000,3.330000,AH0,recommendations,1.0,5,1,5,1,-1,mfa_textgrid_phone
3.330000,3.370000,N,recommendations,1.0,5,1,6,1,-1,mfa_textgrid_phone
3.370000,3.420000,D,recommendations,1.0,5,1,7,1,-1,mfa_textgrid_phone
3.420000,3.530000,EY1,recommendations,1.0,5,1,8,1,-1,mfa_textgrid_phone
3.530000,3.650000,SH,recommendations,1.0,5,1,9,1,-1,mfa_textgrid_phone
3.650000,3.690000,AH0,recommendations,1.0,5,1,10,1,-1,mfa_textgrid_phone
3.690000,3.740000,N,recommendations,1.0,5,1,11,1,-1,mfa_textgrid_phone
3.740000,3.790000,Z,recommendations,1.0,5,1,12,1,-1,mfa_textgrid_phone
3.790000,3.850000,K,can,1.0,6,1,0,1,-1,mfa_textgrid_phone
3.850000,3.900000,AH0,can,1.0,6,1,1,1,-1,mfa_textgrid_phone
3.900000,3.940000,N,can,1.0,6,1,2,1,-1,mfa_textgrid_phone
3.940000,3.980000,B,be,1.0,7,1,0,1,-1,mfa_textgrid_phone
3.980000,4.040000,IY0,be,1.0,7,1,1,1,-1,mfa_textgrid_phone
4.040000,4.090000,DH,the,1.0,8,1,0,1,-1,mfa_textgrid_phone
4.090000,4.130000,AH0,the,1.0,8,1,1,1,-1,mfa_textgrid_phone
4.130000,4.210000,B,best,1.0,9,1,0,1,-1,mfa_textgrid_phone
4.210000,4.330000,EH1,best,1.0,9,1,1,1,-1,mfa_textgrid_phone
4.330000,4.490000,S,best,1.0,9,1,2,1,-1,mfa_textgrid_phone
4.490000,4.590000,T,best,1.0,9,1,3,1,-1,mfa_textgrid_phone
